FileName;Slime_mould;Grey_wolf;Dragon_fly;QuantumEigensolver
;;;;
t1_d1_n10_r10.dat;25;23;24.22580645;25
;;;;
t1_d1_n10_r20.dat;38;38;37.5483871;38
;;;;
t1_d1_n10_r30.dat;77;77;76.74193548;77
;;;;
t1_d1_n10_r40.dat;81;81;79.19354839;81
;;;;
t1_d1_n10_r50.dat;106;106;103.7741935;106
;;;;
t1_d1_n5_r10.dat;19;17;19;19
;;;;
t1_d1_n5_r20.dat;19;19;19;19
;;;;
t1_d1_n5_r30.dat;76;76;76;76
;;;;
t1_d1_n5_r40.dat;59;59;59;59
;;;;
t1_d1_n5_r50.dat;81;81;81;81
;;;;
t1_d1_n6_r10.dat;23;23;23;23
;;;;
t1_d1_n6_r20.dat;23;23;23;23
;;;;
t1_d1_n6_r30.dat;76;76;75.48387097;76
;;;;
t1_d1_n6_r40.dat;59;59;59;59
;;;;
t1_d1_n6_r50.dat;81;81;81;81
;;;;
t1_d1_n7_r10.dat;23;23;22.93548387;23
;;;;
t1_d1_n7_r20.dat;23;23;23;23
;;;;
t1_d1_n7_r30.dat;76;76;73.87096774;76
;;;;
t1_d1_n7_r40.dat;59;59;58.48387097;59
;;;;
t1_d1_n7_r50.dat;106;106;105.516129;106
;;;;
t1_d1_n8_r10.dat;23;23;22.74193548;23
;;;;
t1_d1_n8_r20.dat;23;23;23;23
;;;;
t1_d1_n8_r30.dat;77;77;76.83870968;77
;;;;
t1_d1_n8_r40.dat;61;61;60.93548387;61
;;;;
t1_d1_n8_r50.dat;106;106;104.5483871;106
;;;;
t1_d1_n9_r10.dat;25;23;24.38709677;25
;;;;
t1_d1_n9_r20.dat;38;38;37.5483871;38
;;;;
t1_d1_n9_r30.dat;77;77;76.32258065;77
;;;;
t1_d1_n9_r40.dat;61;61;60.77419355;61
;;;;
t1_d1_n9_r50.dat;106;106;105.1935484;106
